# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 600
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 100000
2 0
0.01335 0.0001 3.90875
0.01345 0.0001 3.41531
0.01355 0.0001 3.9
0.01365 0.0001 4.23514
0.01375 0.0001 4.47049
0.01385 0.0001 5.64013
0.01395 0.0001 4.4
0.01405 0.0001 4.1537
0.01415 0.0001 4.41862
0.01425 0.0001 3.1
0.01435 0.0001 4.1308
0.01445 0.0001 5.52317
0.01455 0.0001 4.31685
0.01465 0.0001 4.64012
0.01475 0.0001 5.20357
0.01485 0.0001 5.14031
0.01495 0.0001 5.13927
0.01505 0.0001 3.2
0.01515 0.0001 4.32881
0.01525 0.0001 5.51045
0.01535 0.0001 6.88609
0.01545 0.0001 6.2216
0.01555 0.0001 7.03957
0.01565 0.0001 5.89483
0.01575 0.0001 6.2277
0.01585 0.0001 5.40115
0.01595 0.0001 5.51238
0.01605 0.0001 6.4734
0.01615 0.0001 5.91241
0.01625 0.0001 8.06032
0.01635 0.0001 6.5061
0.01645 0.0001 7.04885
0.01655 0.0001 7.22836
0.01665 0.0001 6.74199
0.01675 0.0001 6.80247
0.01685 0.0001 7.64707
0.01695 0.0001 7.47862
0.01705 0.0001 7.00626
0.01715 0.0001 9.64556
0.01725 0.0001 7.2163
0.01735 0.0001 9.12182
0.01745 0.0001 8.82942
0.01755 0.0001 7.2746
0.01765 0.0001 7.3735
0.01775 0.0001 6.91232
0.01785 0.0001 6.52659
0.01795 0.0001 8.6541
0.01805 0.0001 0.4
0.01815 0.0001 0.1
0.01825 0.0001 0
0.01835 0.0001 0.1
0.01845 0.0001 0.1
0.01855 0.0001 0.1
0.01865 0.0001 0.1
0.01875 0.0001 0
0.01885 0.0001 0.1
0.01895 0.0001 0
0.01905 0.0001 0.2
0.01915 0.0001 0.1
0.01925 0.0001 0.2
0.01935 0.0001 0.2
0.01945 0.0001 0
0.01955 0.0001 0.3
0.01965 0.0001 0.1
0.01975 0.0001 0.427323
0.01985 0.0001 0
0.01995 0.0001 0.1
0.02005 0.0001 0.2
0.02015 0.0001 0.2
0.02025 0.0001 0.3
0.02035 0.0001 0.1
0.02045 0.0001 0.4
0.02055 0.0001 0.2
0.02065 0.0001 0.3
0.02075 0.0001 0.2
0.02085 0.0001 0.3
0.02095 0.0001 0.6
0.02105 0.0001 0.410212
0.02115 0.0001 0.3
0.02125 0.0001 0.2
0.02135 0.0001 0.1
0.02145 0.0001 0.5
0.02155 0.0001 0.1
0.02165 0.0001 0.6
0.02175 0.0001 0.6
0.02185 0.0001 0.4
0.02195 0.0001 0.3
0.02205 0.0001 0.7
0.02215 0.0001 0.4
0.02225 0.0001 0.9
0.02235 0.0001 0.6
0.02245 0.0001 0.833902
0.02255 0.0001 0.5
0.02265 0.0001 0.4
0.02275 0.0001 0.803033
0.02285 0.0001 0.9
0.02295 0.0001 0.7
0.02305 0.0001 0.2
0.02315 0.0001 1.1
0.02325 0.0001 0.666362
0.02335 0.0001 0.1
0.02345 0.0001 0.6
0.02355 0.0001 0.9
0.02365 0.0001 0.822436
0.02375 0.0001 0.4
0.02385 0.0001 0.5
0.02395 0.0001 1.1
0.02405 0.0001 1.04671
0.02415 0.0001 1.10754
0.02425 0.0001 0.884991
0.02435 0.0001 0.5
0.02445 0.0001 0.7
0.02455 0.0001 1
0.02465 0.0001 0.9
0.02475 0.0001 0.8
0.02485 0.0001 1.3
0.02495 0.0001 1.5
0.02505 0.0001 1
0.02515 0.0001 1
0.02525 0.0001 1.23522
0.02535 0.0001 1.55307
0.02545 0.0001 1.2009
0.02555 0.0001 1.9
0.02565 0.0001 1.30988
0.02575 0.0001 1.5
0.02585 0.0001 0.5
0.02595 0.0001 0.8
0.02605 0.0001 1.8
0.02615 0.0001 2
0.02625 0.0001 2.23778
0.02635 0.0001 0.9
0.02645 0.0001 1.3002
0.02655 0.0001 1.7
0.02665 0.0001 1.7
0.02675 0.0001 1.1
0.02685 0.0001 1
0.02695 0.0001 1.5
0.02705 0.0001 1.5
0.02715 0.0001 1.6
0.02725 0.0001 2.32951
0.02735 0.0001 1.62691
0.02745 0.0001 1.6
0.02755 0.0001 1.20019
0.02765 0.0001 1.6
0.02775 0.0001 1.92747
0.02785 0.0001 1.1
0.02795 0.0001 1.6
0.02805 0.0001 1.8
0.02815 0.0001 1.95286
0.02825 0.0001 2.80251
0.02835 0.0001 1.4
0.02845 0.0001 0.9
0.02855 0.0001 1.4
0.02865 0.0001 1.6
0.02875 0.0001 2.55024
0.02885 0.0001 2.29913
0.02895 0.0001 2.7023
0.02905 0.0001 2.2
0.02915 0.0001 2.4
0.02925 0.0001 1.6
0.02935 0.0001 1.5
0.02945 0.0001 1.20268
0.02955 0.0001 0.8
0.02965 0.0001 2
0.02975 0.0001 2.50266
0.02985 0.0001 2.7
0.02995 0.0001 1.61165
0.03005 0.0001 1.80055
0.03015 0.0001 2.43106
0.03025 0.0001 2.70297
0.03035 0.0001 3.4
0.03045 0.0001 3.42008
0.03055 0.0001 2.70195
0.03065 0.0001 2.4
0.03075 0.0001 1.2
0.03085 0.0001 1.6
0.03095 0.0001 2.13856
0.03105 0.0001 1.4
0.03115 0.0001 2.13797
0.03125 0.0001 2.1
0.03135 0.0001 1.5
0.03145 0.0001 1.8
