# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 500
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 10000000
2 0
0.0289 0.0002 5.24785
0.0291 0.0002 3.74936
0.0293 0.0002 3.74585
0.0295 0.0002 3.08214
0.0297 0.0002 4.53439
0.0299 0.0002 3.45157
0.0301 0.0002 3.68867
0.0303 0.0002 4.09527
0.0305 0.0002 3.68879
0.0307 0.0002 3.25232
0.0309 0.0002 2.63486
0.0311 0.0002 2.71105
0.0313 0.0002 2.75474
0.0315 0.0002 2.64664
0.0317 0.0002 3.30145
0.0319 0.0002 3.18841
0.0321 0.0002 2.8602
0.0323 0.0002 2.69043
0.0325 0.0002 3.16543
0.0327 0.0002 1.81151
0.0329 0.0002 2.8198
0.0331 0.0002 1.81852
0.0333 0.0002 2.65955
0.0335 0.0002 2.4674
0.0337 0.0002 1.86988
0.0339 0.0002 2.39827
0.0341 0.0002 2.64884
0.0343 0.0002 2.83048
0.0345 0.0002 2.52778
0.0347 0.0002 2.82857
0.0349 0.0002 2.73454
0.0351 0.0002 3.35558
0.0353 0.0002 1.78144
0.0355 0.0002 1.78943
0.0357 0.0002 1.70884
0.0359 0.0002 2.08484
0.0361 0.0002 2.39094
0.0363 0.0002 1.7027
0.0365 0.0002 2.25676
0.0367 0.0002 1.92886
0.0369 0.0002 2.05908
0.0371 0.0002 2.22569
0.0373 0.0002 1.63008
0.0375 0.0002 1.45286
0.0377 0.0002 1.80996
0.0379 0.0002 1.45182
0.0381 0.0002 0.711922
0.0383 0.0002 2.18882
0.0385 0.0002 1.77885
0.0387 0.0002 1.4385
0.0389 0.0002 2.57955
0.0391 0.0002 0.865859
0.0393 0.0002 1.46023
0.0395 0.0002 1.22137
0.0397 0.0002 2.5434
0.0399 0.0002 1.0098
0.0401 0.0002 1.52173
0.0403 0.0002 1.42237
0.0405 0.0002 1.10429
0.0407 0.0002 1.70661
0.0409 0.0002 1.46367
